Name,Symbol,Price (USD),Market Cap (USD),24h Volume (USD),Change (24h)
Bitcoin,BTC,60998.13230608948,1203951734357.8225,43464968566.80673,6.71552894
Ethereum,ETH,2666.354193274564,320664302183.76794,22946138757.032726,9.76661507
Tether USDt,USDT,1.0001960331794615,115427275599.21478,70348761268.46347,-0.01438122
BNB,BNB,508.6254024244643,74227109166.93057,1737069619.6665187,4.10724487
Solana,SOL,158.24130489576112,73794051613.95569,4658687750.965686,2.21511979
USDC,USDC,0.9999762367396299,34454427686.38686,8074931590.456122,-0.00186566
XRP,XRP,0.5965018781690505,33466356962.294724,2662340825.416375,-3.05773929
Toncoin,TON,6.484165357741936,16329366812.253195,955732867.802977,3.31947435
Dogecoin,DOGE,0.10528033485944113,15314115028.850128,793861806.9283284,5.51197171
Cardano,ADA,0.3460059494758758,12430466475.04716,321897865.94493383,3.65216602
